Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2020-03-11,1113.15,1178.4,1110.0,1153.25,1158.9,6053529.0,37139.0,7015453610.0,5302033.0,87.59,68.4,40.1
2020-03-09,1245.0,1245.0,1094.95,1113.15,1140.78,1678154.0,73147.0,1914400216.0,653572.0,38.95,150.05,-131.85
2020-03-06,1276.0,1288.35,1241.6,1270.05,1272.38,2582956.0,38958.0,3286497925.0,2336241.0,90.45,46.75,-5.95
2020-03-05,1350.0,1358.35,1306.0,1311.5,1325.28,424590.0,21169.0,562700414.0,143985.0,33.91,52.35,-38.5
2020-03-04,1350.25,1353.0,1308.1,1339.15,1336.32,1691316.0,16628.0,2260143909.0,1458142.0,86.21,44.9,-11.1
2020-03-03,1330.0,1353.35,1321.8,1343.65,1337.44,451859.0,20053.0,604335450.0,105549.0,23.36,31.55,13.65
2020-03-02,1358.4,1368.75,1303.5,1314.85,1344.56,356961.0,20892.0,479954989.0,129857.0,36.38,65.25,-43.55
2020-02-28,1358.8,1358.8,1325.0,1328.65,1340.97,391034.0,28830.0,524366033.0,154681.0,39.56,33.8,-30.15
2020-02-27,1390.0,1393.95,1369.6,1385.8,1380.67,346398.0,13368.0,478262390.0,81152.0,23.43,24.35,-4.2
2020-02-26,1412.1,1415.0,1387.25,1391.4,1399.08,268292.0,12775.0,375362180.0,84981.0,31.67,27.75,-20.7
2020-02-25,1450.0,1451.4,1410.0,1416.3,1431.18,308343.0,14319.0,441295505.0,76513.0,24.81,41.4,-33.7
2020-02-24,1477.0,1477.0,1439.6,1444.85,1464.35,400408.0,18963.0,586336989.0,226798.0,56.64,37.4,-32.15
2020-02-20,1498.7,1507.95,1483.45,1485.5,1490.28,1511993.0,11369.0,2253296946.0,1394070.0,92.2,24.5,-13.2
2020-02-19,1475.55,1506.5,1475.55,1504.2,1497.65,291146.0,14476.0,436034862.0,108067.0,37.12,30.95,28.65
2020-02-18,1479.0,1479.0,1458.0,1466.1,1464.59,370782.0,11133.0,543044546.0,235047.0,63.39,21.0,-12.9
2020-02-17,1490.0,1506.0,1474.65,1478.4,1483.91,517807.0,16979.0,768381256.0,335268.0,64.75,31.35,-11.6
2020-02-14,1477.85,1501.0,1453.3,1486.65,1482.51,714475.0,21716.0,1059213094.0,249446.0,34.91,47.7,8.8
2020-02-13,1479.7,1479.7,1462.7,1473.95,1472.58,1202598.0,9457.0,1770925435.0,1015578.0,84.45,17.0,-5.75
2020-02-12,1457.95,1474.0,1456.0,1470.0,1464.29,286312.0,15551.0,419244200.0,152838.0,53.38,18.0,12.05
2020-02-11,1445.75,1465.65,1445.05,1452.6,1458.32,350733.0,12419.0,511481096.0,197932.0,56.43,20.6,6.85
2020-02-10,1430.0,1445.6,1411.05,1436.75,1423.39,218657.0,8682.0,311233353.0,80431.0,36.78,34.55,6.75
2020-02-07,1452.8,1452.8,1428.5,1433.75,1436.75,195994.0,6740.0,281595006.0,71509.0,36.49,24.3,-19.05
2020-02-06,1453.0,1466.45,1440.2,1457.65,1451.15,337256.0,10654.0,489410543.0,113551.0,33.67,26.25,4.65
2020-02-05,1434.0,1452.3,1430.2,1448.05,1442.08,393828.0,18302.0,567930047.0,165899.0,42.12,22.1,14.05
2020-02-04,1398.0,1431.85,1397.9,1425.85,1416.98,763029.0,17425.0,1081197469.0,504660.0,66.14,33.95,27.85
2020-02-03,1372.0,1399.0,1363.5,1385.85,1381.28,471210.0,19914.0,650873883.0,147458.0,31.29,35.5,13.85
2020-02-01,1406.95,1427.0,1371.1,1383.3,1404.34,551047.0,20491.0,773856618.0,138610.0,25.15,55.9,-23.65
2020-01-31,1451.0,1454.25,1407.45,1411.7,1425.53,489214.0,17415.0,697391314.0,149734.0,30.61,46.8,-39.3
2020-01-30,1483.95,1483.95,1440.0,1442.5,1452.72,297588.0,16349.0,432313349.0,110623.0,37.17,43.95,-41.45
2020-01-29,1476.0,1494.45,1465.0,1479.7,1477.33,358385.0,15942.0,529451334.0,83495.0,23.3,29.45,3.7
2020-01-28,1507.05,1510.45,1464.2,1471.35,1485.45,379788.0,18564.0,564156519.0,151813.0,39.97,46.25,-35.7
2020-01-27,1515.05,1524.35,1505.0,1506.6,1513.22,190617.0,7729.0,288446219.0,66229.0,34.74,19.35,-8.45
2020-01-24,1528.0,1536.45,1518.65,1521.7,1526.63,320326.0,8813.0,489019082.0,160885.0,50.23,17.8,-6.3
2020-01-23,1538.4,1541.55,1521.0,1527.0,1528.87,196625.0,9843.0,300614769.0,70752.0,35.98,20.55,-11.4
2020-01-22,1540.55,1546.7,1530.9,1533.1,1537.88,199109.0,6986.0,306206234.0,77833.0,39.09,15.8,-7.45
2020-01-21,1529.7,1545.95,1523.0,1533.95,1534.88,322191.0,15146.0,494525122.0,94169.0,29.23,22.95,4.25
2020-01-20,1608.05,1609.5,1527.0,1532.0,1559.59,651336.0,24647.0,1015814491.0,234689.0,36.03,82.5,-76.05
2020-01-17,1551.15,1584.8,1551.15,1580.65,1573.9,617437.0,17615.0,971781026.0,310736.0,50.33,33.65,29.5
2020-01-16,1529.05,1543.0,1528.5,1537.7,1533.62,387746.0,10281.0,594654222.0,242741.0,62.6,14.5,8.65
2020-01-15,1538.5,1540.45,1519.0,1524.0,1525.36,226773.0,10379.0,345910182.0,83040.0,36.62,21.45,-14.5
2020-01-14,1542.45,1550.5,1522.7,1529.05,1533.81,297378.0,9529.0,456122192.0,132431.0,44.53,27.8,-13.4
2020-01-13,1547.0,1558.5,1538.65,1543.45,1548.75,228910.0,7469.0,354525288.0,97350.0,42.53,19.85,-3.55
2020-01-10,1550.0,1557.75,1540.1,1547.7,1549.55,192674.0,10621.0,298557372.0,66366.0,34.44,17.65,-2.3
2020-01-09,1537.25,1549.8,1531.85,1547.95,1542.18,258014.0,16829.0,397903331.0,97091.0,37.63,17.95,10.7
2020-01-08,1508.0,1534.45,1508.0,1513.95,1518.19,270488.0,10356.0,410653182.0,90878.0,33.6,26.45,5.95
2020-01-07,1520.0,1534.0,1514.45,1525.05,1522.46,504240.0,19393.0,767686999.0,283958.0,56.31,19.55,5.05
2020-01-06,1527.0,1528.0,1497.5,1501.5,1510.22,453131.0,18338.0,684327062.0,198219.0,43.74,30.5,-25.5
2020-01-03,1534.4,1541.3,1523.4,1537.25,1535.09,354087.0,10840.0,543554613.0,152201.0,42.98,17.9,2.85
2020-01-02,1514.0,1540.8,1513.0,1535.35,1523.28,726289.0,13358.0,1106338677.0,144867.0,19.95,27.8,21.35
2020-01-01,1516.1,1527.4,1505.35,1509.7,1513.89,456824.0,11005.0,691582388.0,230445.0,50.44,22.05,-6.4
