Date,Open,High,Low,Close,Adj Close,Volume,Binary Sentiment Analysis
3/7/2019,0.209,0.215,0.1682,0.215,0.215,306690,1
3/8/2019,0.1801,0.2,0.18,0.198,0.198,81169,1
3/11/2019,0.19,0.21,0.17,0.195,0.195,112475,1
3/12/2019,0.1965,0.21,0.1943,0.1943,0.1943,80953,1
3/13/2019,0.18,0.199,0.18,0.199,0.199,28003,1
3/14/2019,0.195,0.197,0.175,0.194,0.194,74600,1
3/15/2019,0.1845,0.1927,0.18,0.1925,0.1925,50375,2
3/18/2019,0.17585,0.1902,0.151,0.17,0.17,335869,1
3/19/2019,0.16925,0.16925,0.155,0.168,0.168,97390,1
3/20/2019,0.16,0.195,0.16,0.184,0.184,327434,1
3/21/2019,0.2045,0.2045,0.13885,0.148,0.148,736104,1
3/22/2019,0.1438,0.148,0.1438,0.148,0.148,83663,1
3/25/2019,0.148,0.1588,0.145,0.1588,0.1588,122893,1
3/26/2019,0.158,0.1605,0.15,0.1605,0.1605,48200,1
3/27/2019,0.15,0.16,0.144,0.1515,0.1515,167500,1
3/28/2019,0.144,0.164,0.1316,0.164,0.164,343472,1
3/29/2019,0.14,0.164,0.14,0.164,0.164,74523,1
4/1/2019,0.15,0.15905,0.141,0.156,0.156,47125,2
4/2/2019,0.15,0.1575,0.1425,0.15,0.15,50985,1
4/3/2019,0.15,0.163,0.142,0.163,0.163,112231,1
4/4/2019,0.143,0.163,0.143,0.15,0.15,48012,1
4/5/2019,0.15,0.16,0.145,0.1593,0.1593,45582,1
4/8/2019,0.15,0.1592,0.15,0.15846,0.15846,29300,1
4/9/2019,0.15545,0.1629,0.148,0.16,0.16,38350,0
4/10/2019,0.1748,0.1748,0.1525,0.16,0.16,10000,1
4/11/2019,0.15,0.1629,0.145,0.15,0.15,31925,1
4/12/2019,0.17,0.17,0.145,0.15,0.15,52950,1
4/15/2019,0.155,0.155,0.125,0.137,0.137,225806,2
4/16/2019,0.138,0.153,0.138,0.14825,0.14825,202585,1
4/17/2019,0.14708,0.14708,0.11,0.1379,0.1379,639163,2
4/18/2019,0.1268,0.13945,0.1268,0.1389,0.1389,90794,2
4/22/2019,0.1268,0.13245,0.115,0.1296,0.1296,310720,1
4/23/2019,0.1425,0.1499,0.1265,0.141,0.141,81395,2
4/24/2019,0.15995,0.15995,0.1222,0.1399,0.1399,182229,1
4/25/2019,0.1426,0.1426,0.1386,0.1426,0.1426,28332,1
4/26/2019,0.118,0.1499,0.118,0.147,0.147,191741,1
4/29/2019,0.138,0.169,0.134,0.169,0.169,637404,2
4/30/2019,0.167,0.179,0.16,0.17571,0.17571,124935,1
5/1/2019,0.177,0.177,0.13703,0.1749,0.1749,171135,1
5/2/2019,0.14167,0.1549,0.1386,0.153,0.153,108617,0
5/3/2019,0.149,0.155,0.125,0.132,0.132,146761,1
5/6/2019,0.1534,0.1534,0.1507,0.1507,0.1507,7700,1
5/7/2019,0.14125,0.1515,0.132,0.15,0.15,53545,2
5/8/2019,0.15,0.16841,0.135,0.16,0.16,136271,1
5/9/2019,0.1662,0.1662,0.14,0.1599,0.1599,79617,2
5/10/2019,0.186,0.186,0.131,0.149,0.149,18259,1
5/13/2019,0.1307,0.15,0.12,0.1475,0.1475,303149,1
5/14/2019,0.182,0.182,0.13,0.14,0.14,247795,2
5/15/2019,0.1301,0.1398,0.121,0.1274,0.1274,85324,1
5/16/2019,0.155,0.155,0.135,0.1475,0.1475,44106,1
5/17/2019,0.1475,0.1475,0.121,0.135,0.135,223864,1
5/20/2019,0.127,0.144,0.127,0.144,0.144,19050,0
5/21/2019,0.145,0.145,0.1202,0.1389,0.1389,132084,2
5/22/2019,0.1394,0.1394,0.1201,0.1321,0.1321,74000,2
5/23/2019,0.1325,0.144,0.12374,0.144,0.144,62206,1
5/24/2019,0.144,0.144,0.13,0.14,0.14,72400,2
5/28/2019,0.145,0.145,0.13,0.1439,0.1439,32800,1
5/29/2019,0.1426,0.1426,0.129,0.1426,0.1426,1597,1
5/30/2019,0.129,0.14,0.129,0.14,0.14,170510,1
5/31/2019,0.144,0.144,0.1235,0.1397,0.1397,41511,1
6/3/2019,0.143,0.143,0.13,0.13941,0.13941,59600,1
6/4/2019,0.13773,0.1385,0.13,0.1379,0.1379,18872,1
6/5/2019,0.138,0.138,0.12,0.13319,0.13319,230348,1
6/6/2019,0.13,0.135,0.1259,0.135,0.135,32000,1
6/7/2019,0.135,0.143,0.135,0.143,0.143,40953,1
6/10/2019,0.143,0.143,0.135,0.14,0.14,85174,1
6/11/2019,0.12955,0.1429,0.12955,0.1429,0.1429,100144,1
6/12/2019,0.1449,0.154,0.14,0.15,0.15,226214,1
6/13/2019,0.147,0.155,0.132,0.14925,0.14925,241014,1
6/14/2019,0.15,0.15,0.13775,0.13775,0.13775,117343,1
6/17/2019,0.13262,0.1374,0.1256,0.1256,0.1256,86950,1
6/18/2019,0.1257,0.1369,0.1257,0.1259,0.1259,78414,0
6/19/2019,0.1259,0.1349,0.1211,0.13,0.13,184604,1
6/20/2019,0.121,0.1255,0.1026,0.124,0.124,172634,1
6/21/2019,0.122,0.1368,0.1,0.135,0.135,453882,1
6/24/2019,0.136,0.1398,0.125,0.1383,0.1383,109600,1
6/25/2019,0.135,0.135,0.135,0.135,0.135,7000,2
6/26/2019,0.13368,0.135,0.1225,0.13407,0.13407,6240,1
6/27/2019,0.133,0.133,0.125,0.133,0.133,50366,1
6/28/2019,0.1313,0.1313,0.1313,0.1313,0.1313,11452,1
7/1/2019,0.125,0.125,0.125,0.125,0.125,8500,1
7/2/2019,0.125,0.1313,0.125,0.1313,0.1313,3240,1
7/3/2019,0.1313,0.14,0.125,0.14,0.14,80192,1
7/5/2019,0.1406,0.1406,0.1245,0.1245,0.1245,7500,1
7/8/2019,0.1395,0.14,0.1198,0.122,0.122,149017,1
7/9/2019,0.125,0.14,0.125,0.14,0.14,15313,2
7/10/2019,0.14,0.155,0.13,0.1399,0.1399,533376,1
7/11/2019,0.135,0.175,0.135,0.1622,0.1622,331360,1
7/12/2019,0.152,0.1674,0.14,0.16495,0.16495,323853,1
7/15/2019,0.16645,0.16645,0.16645,0.16645,0.16645,500,1
7/16/2019,0.1635,0.1635,0.16,0.16148,0.16148,23340,1
7/17/2019,0.16245,0.17153,0.15,0.17,0.17,31752,1
7/18/2019,0.17,0.19,0.1692,0.19,0.19,221725,1
7/19/2019,0.19,0.1949,0.16308,0.173,0.173,102109,1
