Current Value,New Value
MUMBAI,Mumbai
Prayagraj,Prayagraj
DELHI,Delhi
INDORE,Indore
FARIDABAD,Faridabad
HYDRABAD,Hyderabad
GUJRAT,Gujarat
MADHYA PRADESH,Madhya Pradesh
ANDHRA PRADESH,Andhra Pradesh
GURGAON,Gurugram
AHAMADABAD,Ahmedabad
KANPUR,Kanpur
ALIGARH,Aligarh
GONDA,Gonda
nan,unknown
AMRITSAR,Amritsar
RAJASTHAN,Rajasthan
BOMBAY,Mumbai
BALLABHGARH,Ballabhgarh
NOIDA,Noida
AHEMADABAD,Ahmedabad
NAGPUR,Nagpur
MATHURA,Mathura
AHAMDABAD,Ahmedabad
BHIMANDI,Bhiwandi
THANE,Thane
PUNE,Pune
SURAT,Surat
HAPUR,Hapur
SAHARANPUR,Saharanpur
HARYANA,Haryana
BHIWNDI,Bhiwandi
AHMEDABAD,Ahmedabad
TELANGANA,Telangana
HARIYANA,Haryana
BHIWANDI,Bhiwandi
JALGAUV,Jalgaon
RAJSTHAN,Rajasthan
MAHARASTRA,Maharashtra
KERALA,Kerala
BRODARA,Baroda
BANGOLORE,Bangalore
KERLA,Kerala
MHARSATRA,Maharashtra
LUCKNOW,Lucknow
GUDGAWA,Gurugram
NAGH PUR,Nagpur
MHARASTRA,Maharashtra
AMDABAD,Ahmedabad
BANGLOR,Bangalore
JHASI,Jhansi
PUNA,Pune
SAHARAN PUR,Saharanpur
HARAYAN,Haryana
CHNADI GHAR,Chandigarh
GAZIYABAD,Ghaziabad
NASIK,Nashik
VASAI MUMBAI,Vasai
BEGLORE,Bangalore
ULWAY MUMBAI,Ulwe Mumbai
______,Mumbai
______ _____,Bhiwandi
____,Surat
________,Hyderabad
________,Telangana
________,Ludhiana
_____,Hapur
______ ________ _______,Ekta Nagar Mankhurd
______ _____,Godhra
____,Thane
___,Vasai
___,Vasai
_______ _____,Andheri
____,Pune
______,Gujarat
____,Kerala
MUMBAI CST,Mumbai
AHAMADNAGAR,Ahmedabad
BELAUR,Belaur
NIGOJ,Nighoj
MMBAI,Mumbai
MAHARSHTRA,Maharashtra
fnYyh,unknown
Fkkus,unknown
eqEcbZ,unknown
POONA,Pune
MUMABAI,Mumbai
HENFRABAD,Hyderabad
HAIDRABAD,Hyderabad
BANGLORE,Bangalore
RAJESTHA,Rajasthan
SOLAPUR,Solapur
AGRA,Agra
JAMMU,Jammu
GUJRAAT,Gujarat
BEGOLOR,Bangalore
AGARA,Agra
AHMADABAD,Ahmedabad
______,Kanpur
________,Ahmedabad
